entry,exit,pnl,reason,type,pnl_pct,entry_time,exit_time
67341.02,66852.34,-51.25363811403889,SL,long,-0.7256795338116464,2024-10-21 12:00:00,2024-10-23 04:00:00
66414.0,68309.79,200.58510533188968,TP,long,2.854503568524699,2024-10-23 08:00:00,2024-10-24 16:00:00
67690.01,66850.0,-88.94474082286057,SL,long,-1.240965985970448,2024-10-25 12:00:00,2024-10-25 16:00:00
66850.0,68753.78,202.34228511402233,TP,long,2.8478384442782327,2024-10-25 16:00:00,2024-10-28 08:00:00
69369.99,68379.89,-103.43110631199401,SL,long,-1.427274243516549,2024-11-01 00:00:00,2024-11-03 00:00:00
68679.0,67856.0,-85.97234870261849,SL,long,-1.19832845556866,2024-11-03 16:00:00,2024-11-04 16:00:00
69639.99,68995.99,-65.78876431405054,SL,long,-0.9247560202119498,2024-11-05 12:00:00,2024-11-05 16:00:00
68995.99,74348.53,548.3276916542527,TP,long,7.757755197077384,2024-11-05 16:00:00,2024-11-06 00:00:00
94669.48,93010.01,-130.62595976811483,SL,long,-1.7529091741076444,2024-11-25 16:00:00,2024-11-25 20:00:00
94464.0,92356.85,-164.18643987338356,SL,long,-2.2306381266937607,2024-11-26 00:00:00,2024-11-26 08:00:00
96483.75,95999.99,-36.328642382346594,SL,long,-0.501390130462378,2024-12-02 00:00:00,2024-12-02 04:00:00
95999.99,95128.68,-65.53117577305777,SL,long,-0.9076146778765415,2024-12-02 04:00:00,2024-12-02 08:00:00
95128.68,97048.0,144.74859641888057,TP,long,2.017603944467649,2024-12-02 08:00:00,2024-12-02 12:00:00
95816.0,94988.01,-62.87184831554382,SL,long,-0.8641458629039046,2024-12-02 16:00:00,2024-12-03 08:00:00
94988.01,98587.32,274.0214766940514,TP,long,3.7892256085794536,2024-12-03 08:00:00,2024-12-04 20:00:00
96945.63,102088.0,393.7663278401634,TP,long,5.3043855612676865,2024-12-05 20:00:00,2024-12-14 00:00:00
102817.82,100204.01,-195.72333377127765,SL,long,-2.542176054695589,2024-12-18 16:00:00,2024-12-18 20:00:00
98300.0,97581.09,-55.30444336357801,Trend Change,long,-0.7313428280773179,2024-12-24 12:00:00,2024-12-24 16:00:00
97581.09,98663.58,-83.4580453816456,Trend Change,short,-1.1093235379928685,2024-12-24 16:00:00,2024-12-24 20:00:00
96952.38,93612.89,257.126051111222,TP,short,3.4444641792187105,2024-12-27 08:00:00,2024-12-29 16:00:00
95412.0,96732.99,-105.8444460983353,SL,short,-1.384511382216079,2024-12-31 12:00:00,2025-01-02 08:00:00
97952.26,96451.98,-115.95777537116795,SL,long,-1.5316440886611487,2025-01-07 12:00:00,2025-01-07 16:00:00
96954.61,93221.59,288.3715658339748,TP,short,3.8502759177722488,2025-01-07 20:00:00,2025-01-09 04:00:00
95327.06,90851.22,361.1345609405312,TP,short,4.695246029826155,2025-01-10 16:00:00,2025-01-13 08:00:00
94536.1,96548.04,-169.0722479651182,SL,short,-2.1282240329355537,2025-01-13 20:00:00,2025-01-14 08:00:00
102620.0,101395.64,-93.37131976138197,SL,long,-1.1931007600857537,2025-01-26 20:00:00,2025-01-27 00:00:00
102082.83,105564.0,264.646756272594,TP,long,3.4101425283762197,2025-01-27 20:00:00,2025-01-30 12:00:00
102429.56,101669.6,-58.95283741124375,Trend Change,long,-0.7419342619454695,2025-01-31 20:00:00,2025-02-01 16:00:00
101880.0,100629.7,-97.00702311096707,Trend Change,long,-1.2272281115037327,2025-02-03 16:00:00,2025-02-04 00:00:00
97429.83,98268.97,-67.4952787046469,SL,short,-0.8612762641585225,2025-02-10 04:00:00,2025-02-11 04:00:00
98268.97,95040.82,255.88331083598862,TP,short,3.2850145880230497,2025-02-11 04:00:00,2025-02-11 16:00:00
97205.06,94104.14,254.20254993063165,TP,short,3.1900808455856087,2025-02-12 16:00:00,2025-02-18 16:00:00
95687.71,96422.6,-62.56561753609796,SL,short,-0.7680087651799792,2025-02-19 04:00:00,2025-02-19 08:00:00
95943.74,96644.37,-59.16986140630906,SL,short,-0.7302508741060022,2025-02-19 12:00:00,2025-02-19 20:00:00
96903.77,98422.8,-126.36547761614551,SL,short,-1.5675654311488592,2025-02-20 12:00:00,2025-02-20 16:00:00
96181.98,91552.88,383.7194217508116,TP,short,4.812855796896666,2025-02-21 20:00:00,2025-02-24 20:00:00
90035.37,85606.0,405.4432261867389,TP,short,4.919588823814458,2025-03-03 12:00:00,2025-03-03 16:00:00
88206.19,90606.01,-231.9449626076417,SL,short,-2.7206934116528467,2025-03-04 16:00:00,2025-03-05 20:00:00
88457.99,83080.41,508.3985496448429,TP,short,6.079247335373551,2025-03-07 12:00:00,2025-03-09 12:00:00
84724.58,86845.94,-218.30229647299387,SL,short,-2.5038306474933254,2025-03-14 12:00:00,2025-03-19 20:00:00
84691.76,86082.5,-140.66266689468338,SL,short,-1.6421196111640675,2025-03-20 12:00:00,2025-03-23 20:00:00
85212.99,82293.56,290.0983532200273,TP,short,3.4260386825999274,2025-03-28 04:00:00,2025-03-29 08:00:00
83930.3,85280.87,-139.5223433213731,SL,short,-1.609156645454612,2025-04-01 08:00:00,2025-04-01 12:00:00
84972.01,86757.67,-180.15595497307817,SL,short,-2.1014684717944223,2025-04-01 16:00:00,2025-04-02 12:00:00
84129.83,85179.24,105.36221262889684,TP,long,1.2473696903940057,2025-04-20 08:00:00,2025-04-20 20:00:00
94277.62,93770.31,-45.849027547614575,SL,long,-0.5381022558694182,2025-05-04 20:00:00,2025-05-05 12:00:00
93770.31,96834.02,277.3375443539443,TP,long,3.2672495163981083,2025-05-05 12:00:00,2025-05-06 20:00:00
102994.17,105518.0,212.76225176792252,TP,long,2.4504590890921314,2025-05-17 08:00:00,2025-05-18 12:00:00
103605.88,107026.47,291.57488646748044,TP,long,3.301540414501568,2025-05-19 00:00:00,2025-05-20 16:00:00
106967.97,110094.62,264.10807137104905,TP,long,2.9229777848453087,2025-05-25 12:00:00,2025-05-26 04:00:00
107107.31,105731.74,-118.41755449941797,SL,long,-1.2842914269810273,2025-05-28 12:00:00,2025-05-29 16:00:00
105482.02,104696.86,-68.01586915197225,SL,long,-0.7443543458875773,2025-06-03 00:00:00,2025-06-04 20:00:00
105092.28,104219.8,-75.46514156761275,SL,long,-0.8302037028790279,2025-06-06 12:00:00,2025-06-06 16:00:00
107860.05,106900.95,-80.35885986446063,SL,long,-0.8892078206898715,2025-06-12 00:00:00,2025-06-12 08:00:00
107020.95,105671.73,-113.22250690970796,SL,long,-1.2607064317780783,2025-06-12 12:00:00,2025-06-12 20:00:00
107061.8,105641.47,-118.09292540432385,SL,long,-1.3266449844855976,2025-06-16 04:00:00,2025-06-17 08:00:00
105641.47,105811.74,-14.214151379217537,Trend Change,short,-0.16117723465983963,2025-06-17 08:00:00,2025-06-20 04:00:00
105977.82,104217.99,-146.27924360222795,SL,long,-1.6605644464096372,2025-06-20 08:00:00,2025-06-20 12:00:00
103161.29,105333.93,-183.36658221344825,SL,short,-2.106061294890748,2025-06-23 16:00:00,2025-06-23 20:00:00
107580.46,107146.5,-34.60312071415843,SL,long,-0.4033818037216111,2025-06-30 12:00:00,2025-06-30 20:00:00
107178.99,106605.8,-45.74671031112383,SL,long,-0.5347969784003398,2025-07-01 04:00:00,2025-07-01 08:00:00
106605.8,105955.18,-52.01021313265447,SL,long,-0.6103045050081796,2025-07-01 08:00:00,2025-07-01 12:00:00
105955.18,105398.53,-44.58027466169734,SL,long,-0.5253636490448076,2025-07-01 12:00:00,2025-07-01 16:00:00
106194.7,108737.74,202.4570886227593,TP,long,2.394695780486228,2025-07-02 00:00:00,2025-07-02 12:00:00
107573.29,111750.0,333.7583869188914,TP,long,3.8826645536266544,2025-07-04 12:00:00,2025-07-09 16:00:00
